"id","value","nominal","currencyName","currencyCode","date"
"1","48.5922","1","Австралийский доллар","AUD","2022-12-30"
"2","42.3399","1","Азербайджанский манат","AZN","2022-12-30"
"3","86.6397","1","Фунт стерлингов Соединенного королевства","GBP","2022-12-30"
"4","18.2959","100","Армянских драмов","AMD","2022-12-30"
"5","26.3038","1","Белорусский рубль","BYN","2022-12-30"
"6","39.0908","1","Болгарский лев","BGN","2022-12-30"
"7","13.6495","1","Бразильский реал","BRL","2022-12-30"
"8","19.0538","100","Венгерских форинтов","HUF","2022-12-30"
"9","92.5165","10","Гонконгских долларов","HKD","2022-12-30"
"10","10.2984","1","Датская крона","DKK","2022-12-30"
"11","71.9778","1","Доллар США","USD","2022-12-30"
"12","76.0765","1","Евро","EUR","2022-12-30"
"13","87.0686","100","Индийских рупий","INR","2022-12-30"
"14","15.6056","100","Казахстанских тенге","KZT","2022-12-30"
"15","53.0614","1","Канадский доллар","CAD","2022-12-30"
"16","84.0077","100","Киргизских сомов","KGS","2022-12-30"
"17","10.1306","1","Китайский юань","CNY","2022-12-30"
"18","37.5591","10","Молдавских леев","MDL","2022-12-30"
"19","72.6388","10","Норвежских крон","NOK","2022-12-30"
"20","16.3122","1","Польский злотый","PLN","2022-12-30"
"21","15.4788","1","Румынский лей","RON","2022-12-30"
"22","95.7909","1","СДР (специальные права заимствования)","XDR","2022-12-30"
"23","53.3841","1","Сингапурский доллар","SGD","2022-12-30"
"24","70.5582","10","Таджикских сомони","TJS","2022-12-30"
"25","38.4634","10","Турецких лир","TRY","2022-12-30"
"26","20.5651","1","Новый туркменский манат","TMT","2022-12-30"
"27","64.2913","10000","Узбекских сумов","UZS","2022-12-30"
"28","19.4894","10","Украинских гривен","UAH","2022-12-30"
"29","31.5747","10","Чешских крон","CZK","2022-12-30"
"30","68.7152","10","Шведских крон","SEK","2022-12-30"
"31","77.9487","1","Швейцарский франк","CHF","2022-12-30"
"32","42.3008","10","Южноафриканских рэндов","ZAR","2022-12-30"
"33","56.9219","1000","Вон Республики Корея","KRW","2022-12-30"
"34","53.7028","100","Японских иен","JPY","2022-12-30"
